SQL Query,Human Description,Result,mixtral,gpt3
SELECT * FROM customer LIMIT 5;,Retrieve information about the first 5 customers.,"[('1', 'LuÃ­s', 'GonÃ§alves', 'Embraer - Empresa Brasileira de AeronÃ¡utica S.A.', 'Av. Brigadeiro Faria Lima, 2170', 'SÃ£o JosÃ© dos Campos', 'SP', 'Brazil', '12227-000', '+55 (12) 3923-5555', '+55 (12) 3923-5566', 'luisg@embraer.com.br', '3'), ('2', 'Leonie', 'KÃ¶hler', '', 'Theodor-Heuss-StraÃe 34', 'Stuttgart', '', 'Germany', '70174', '+49 0711 2842222', '', 'leonekohler@surfeu.de', '5'), ('3', 'FranÃ§ois', 'Tremblay', '', '1498 rue BÃ©langer', 'MontrÃ©al', 'QC', 'Canada', 'H2G 1A7', '+1 (514) 721-4711', '', 'ftremblay@gmail.com', '3'), ('4', 'BjÃ¸rn', 'Hansen', '', 'UllevÃ¥lsveien 14', 'Oslo', '', 'Norway', '0171', '+47 22 44 22 22', '', 'bjorn.hansen@yahoo.no', '4'), ('5', 'FrantiÂek', 'WichterlovÃ¡', 'JetBrains s.r.o.', 'Klanova 9/506', 'Prague', '', 'Czech Republic', '14700', '+420 2 4172 5555', '+420 2 4172 5555', 'frantisekw@jetbrains.com', '4')]",1,1
"SELECT Name, Composer, UnitPrice FROM track LIMIT 10;","Retrieve the name, composer, and unit price of 10 tracks.","[('For Those About To Rock (We Salute You)', 'Angus Young, Malcolm Young, Brian Johnson', Decimal('0.99')), ('Balls to the Wall', '', Decimal('0.99')), ('Fast As a Shark', 'F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman', Decimal('0.99')), ('Restless and Wild', 'F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman', Decimal('0.99')), ('Princess of the Dawn', 'Deaffy & R.A. Smith-Diesel', Decimal('0.99')), ('Put The Finger On You', 'Angus Young, Malcolm Young, Brian Johnson', Decimal('0.99')), (""Let's Get It Up"", 'Angus Young, Malcolm Young, Brian Johnson', Decimal('0.99')), ('Inject The Venom', 'Angus Young, Malcolm Young, Brian Johnson', Decimal('0.99')), ('Snowballed', 'Angus Young, Malcolm Young, Brian Johnson', Decimal('0.99')), ('Evil Walks', 'Angus Young, Malcolm Young, Brian Johnson', Decimal('0.99'))]",1,1
SELECT DISTINCT FirstName FROM employee;,Retrieve distinct first names of employees.,"[('Nancy',), ('Jane',), ('Steve',), ('Michael',), ('Margaret',), ('Robert',), ('Laura',), ('Andrew',)]",1,0
SELECT COUNT(*) FROM track;,Count the total number of tracks.,"[(3503,)]",1,1
SELECT COUNT(DISTINCT FirstName) FROM employee;,Count the total number of distinct first names of employees.,"[(8,)]",0,1
SELECT * FROM track WHERE UnitPrice > 1.0 LIMIT 10;,"Retrieve tracks where the unit price is greater than 1.0, limited to 10.","[('2819', 'Battlestar Galactica: The Story So Far', '226', '3', '18', '', '2622250', '490750393', '1.99'), ('2820', 'Occupation / Precipice', '227', '3', '19', '', '5286953', '1054423946', '1.99'), ('2821', 'Exodus, Pt. 1', '227', '3', '19', '', '2621708', '475079441', '1.99'), ('2822', 'Exodus, Pt. 2', '227', '3', '19', '', '2618000', '466820021', '1.99'), ('2823', 'Collaborators', '227', '3', '19', '', '2626626', '483484911', '1.99'), ('2824', 'Torn', '227', '3', '19', '', '2631291', '495262585', '1.99'), ('2825', 'A Measure of Salvation', '227', '3', '18', '', '2563938', '489715554', '1.99'), ('2826', 'Hero', '227', '3', '18', '', '2713755', '506896959', '1.99'), ('2827', 'Unfinished Business', '227', '3', '18', '', '2622038', '528499160', '1.99'), ('2828', 'The Passage', '227', '3', '18', '', '2623875', '490375760', '1.99')]",1,1
SELECT COUNT(*) FROM track WHERE UnitPrice > 1.0 AND UnitPrice < 10;,Count tracks where the unit price is between 1.0 and 10.,"[(213,)]",1,0
"SELECT BillingAddress, BillingCity, Total FROM invoice WHERE BillingCity = 'Paris' OR BillingCity = 'Berlin' LIMIT 5;",Retrieve billing information for invoices from Paris or Berlin.,"[('BarbarossastraÃe 19', 'Berlin', Decimal('1.98')), ('8, Rue Hanovre', 'Paris', Decimal('1.98')), ('8, Rue Hanovre', 'Paris', Decimal('13.86')), ('TauentzienstraÃe 8', 'Berlin', Decimal('1.98')), ('BarbarossastraÃe 19', 'Berlin', Decimal('3.96'))]",1,1
"SELECT BillingAddress, BillingCity, Total FROM invoice WHERE BillingCity != 'Paris' AND BillingCity <> 'Berlin' LIMIT 5;",Retrieve billing information for invoices not from Paris or Berlin.,"[('Theodor-Heuss-StraÃe 34', 'Stuttgart', Decimal('1.98')), ('UllevÃ¥lsveien 14', 'Oslo', Decimal('3.96')), ('GrÃ©trystraat 63', 'Brussels', Decimal('5.94')), ('8210 111 ST NW', 'Edmonton', Decimal('8.91')), ('69 Salem Street', 'Boston', Decimal('13.86'))]",0,1
"SELECT * FROM invoice WHERE BillingCity IN ('Berlin', 'Paris', 'New York', 'Boston', 'London') LIMIT 5;","Retrieve invoices from selected cities, limited to 5 each.","[('5', '23', '2009-01-11 00:00:00', '69 Salem Street', 'Boston', 'MA', 'USA', '2113', '13.86'), ('7', '38', '2009-02-01 00:00:00', 'BarbarossastraÃe 19', 'Berlin', '', 'Germany', '10779', '1.98'), ('8', '40', '2009-02-01 00:00:00', '8, Rue Hanovre', 'Paris', '', 'France', '75002', '1.98'), ('11', '52', '2009-02-06 00:00:00', '202 Hoxton Street', 'London', '', 'United Kingdom', 'N1 5LH', '8.91'), ('19', '40', '2009-03-14 00:00:00', '8, Rue Hanovre', 'Paris', '', 'France', '75002', '13.86')]",1,1
"SELECT * FROM invoice WHERE BillingCity NOT IN ('Berlin', 'Paris', 'New York', 'Boston', 'London') LIMIT 5;","Retrieve invoices not from selected cities, limited to 5 each.","[('1', '2', '2009-01-01 00:00:00', 'Theodor-Heuss-StraÃe 34', 'Stuttgart', '', 'Germany', '70174', '1.98'), ('2', '4', '2009-01-02 00:00:00', 'UllevÃ¥lsveien 14', 'Oslo', '', 'Norway', '0171', '3.96'), ('3', '8', '2009-01-03 00:00:00', 'GrÃ©trystraat 63', 'Brussels', '', 'Belgium', '1000', '5.94'), ('4', '14', '2009-01-06 00:00:00', '8210 111 ST NW', 'Edmonton', 'AB', 'Canada', 'T6G 2C7', '8.91'), ('6', '37', '2009-01-19 00:00:00', 'Berger StraÃe 10', 'Frankfurt', '', 'Germany', '60316', '0.99')]",1,1
"SELECT BillingCity, Total FROM invoice WHERE Total BETWEEN 5 AND 15 LIMIT 5;",Retrieve invoices with total amounts between 5 and 15.,"[('Brussels', Decimal('5.94')), ('Edmonton', Decimal('8.91')), ('Boston', Decimal('13.86')), ('Dublin', Decimal('5.94')), ('London', Decimal('8.91'))]",0,1
SELECT COUNT(*) FROM invoice WHERE BillingState IS NULL;,Count invoices where the billing state is NULL.,"[(0,)]",1,1
"SELECT InvoiceDate, BillingCountry FROM invoice WHERE Total IS NOT NULL LIMIT 10;",Retrieve invoice details where the total amount is not NULL.,"[('2009-01-01 00:00:00', 'Germany'), ('2009-01-02 00:00:00', 'Norway'), ('2009-01-03 00:00:00', 'Belgium'), ('2009-01-06 00:00:00', 'Canada'), ('2009-01-11 00:00:00', 'USA'), ('2009-01-19 00:00:00', 'Germany'), ('2009-02-01 00:00:00', 'Germany'), ('2009-02-01 00:00:00', 'France'), ('2009-02-02 00:00:00', 'France'), ('2009-02-03 00:00:00', 'Ireland')]",0,0
"SELECT Name, Composer, UnitPrice FROM track WHERE Name LIKE 'B%' LIMIT 5;",Retrieve tracks with names starting with 'B'.,"[('Balls to the Wall', '', Decimal('0.99')), ('Breaking The Rules', 'Angus Young, Malcolm Young, Brian Johnson', Decimal('0.99')), ('Bad Boy Boogie', 'AC/DC', Decimal('0.99')), ('Blind Man', 'Steven Tyler, Joe Perry, Taylor Rhodes', Decimal('0.99')), ('Bleed The Freak', 'Jerry Cantrell', Decimal('0.99'))]",1,1
"SELECT Name, Composer, UnitPrice FROM track WHERE Name LIKE '%beautiful%';",Retrieve tracks with 'beautiful' in the name.,[],1,0
"SELECT Name, Composer, UnitPrice FROM track WHERE (Name LIKE 'F%') AND (UnitPrice > 1.0);",Retrieve tracks starting with 'F' and with a unit price over 1.0.,"[('Fallout', '', Decimal('1.99')), ('Further Instructions', '', Decimal('1.99')), ('Flashes Before Your Eyes', '', Decimal('1.99')), ('Fire + Water', '', Decimal('1.99')), ('Five Years Gone', '', Decimal('1.99')), ('Fire In Space', '', Decimal('1.99'))]",0,0
"SELECT SUM(Total), MAX(Total), MIN(Total), AVG(Total) FROM invoice;",Calculate various statistics from invoice totals.,"[(Decimal('2328.60'), '9.91', '0.99', Decimal('5.6519417475728155'))]",1,0
